symbol,ensembl
7SK,ENSG00000202198
A1BG,ENSG00000121410
A2M,ENSG00000175899
A2M-AS1,ENSG00000245105
AADACL2-AS1,ENSG00000262466
AAMDC,ENSG00000087884
AASS,ENSG00000008311
ABAT,ENSG00000183044
ABCA1,ENSG00000165029
ABCA10,ENSG00000154263
ABCA3,ENSG00000167972
ABCA6,ENSG00000154262
ABCB1,ENSG00000085563
ABCB4,ENSG00000005471
ABCB5,ENSG00000004846
ABCB9,ENSG00000150967
ABCC2,ENSG00000023839
ABCC3,ENSG00000108846
ABCC4,ENSG00000125257
ABCC9,ENSG00000069431
ABCD2,ENSG00000173208
ABCG1,ENSG00000160179
ABCG2,ENSG00000118777
ABHD12,ENSG00000100997
ABHD14A,ENSG00000248487
ABHD14B,ENSG00000114779
ABHD17C,ENSG00000136379
ABHD5,ENSG00000011198
ABHD6,ENSG00000163686
ABHD8,ENSG00000127220
ABL1,ENSG00000097007
ABLIM1,ENSG00000099204
ABLIM2,ENSG00000163995
ABO,ENSG00000281879
ABR,ENSG00000278741
ABTB2,ENSG00000166016
ABTB3,ENSG00000151136
ACACB,ENSG00000076555
ACAT1,ENSG00000075239
ACAT2,ENSG00000120437
ACE,ENSG00000159640
ACER1,ENSG00000167769
ACER2,ENSG00000177076
ACKR2,ENSG00000144648
ACO1,ENSG00000122729
ACOD1,ENSG00000102794
ACOX1,ENSG00000161533
ACOXL,ENSG00000153093
ACP5,ENSG00000102575
ACP6,ENSG00000162836
ACSL1,ENSG00000151726
ACSL6,ENSG00000164398
ACSM1,ENSG00000166743
ACSM3,ENSG00000005187
ACSS2,ENSG00000131069
ACTA2,ENSG00000107796
ACTB,ENSG00000075624
ACTG1P17,ENSG00000259315
ACTN1,ENSG00000072110
ACTN1-DT,ENSG00000259062
ACTR6,ENSG00000075089
ACVR1C,ENSG00000123612
ACVR2A,ENSG00000121989
ACVR2B,ENSG00000114739
ACY1,ENSG00000243989
ADA,ENSG00000196839
ADAM12,ENSG00000148848
ADAM19,ENSG00000135074
ADAM20,ENSG00000134007
ADAM22,ENSG00000008277
ADAM23,ENSG00000114948
ADAM28,ENSG00000042980
ADAM7-AS1,ENSG00000253535
ADAM8,ENSG00000151651
ADAMDEC1,ENSG00000134028
ADAMTS10,ENSG00000142303
ADAMTS17,ENSG00000140470
ADAMTS6,ENSG00000049192
ADAMTS7,ENSG00000136378
ADAP2,ENSG00000184060
ADARB2,ENSG00000185736
ADCY10P1,ENSG00000161912
ADCY3,ENSG00000138031
ADCY9,ENSG00000162104
ADD2,ENSG00000075340
ADD3-AS1,ENSG00000203876
ADGRA3,ENSG00000152990
ADGRB1,ENSG00000181790
ADGRB3,ENSG00000135298
ADGRE1,ENSG00000174837
ADGRE2,ENSG00000127507
ADGRE3,ENSG00000131355
ADGRE4P,ENSG00000268758
ADGRE5,ENSG00000123146
ADGRF3,ENSG00000173567
ADGRF5,ENSG00000069122
ADGRG1,ENSG00000205336
ADGRG3,ENSG00000182885
ADGRG5,ENSG00000159618
ADGRG6,ENSG00000112414
ADGRL1,ENSG00000072071
ADGRL2,ENSG00000117114
ADGRL3-AS1,ENSG00000248692
ADGRL4,ENSG00000162618
ADGRV1,ENSG00000164199
ADH1B,ENSG00000196616
ADHFE1,ENSG00000147576
ADIPOQ,ENSG00000181092
ADK,ENSG00000156110
ADRB2,ENSG00000169252
ADTRP,ENSG00000111863
AFAP1,ENSG00000196526
AFAP1L2,ENSG00000169129
AFF2,ENSG00000155966
AFF3,ENSG00000144218
AFG1L,ENSG00000135537
AGA-DT,ENSG00000250131
AGAP1,ENSG00000157985
AGBL1,ENSG00000273540
AGBL2,ENSG00000165923
AGBL3,ENSG00000146856
AGBL4,ENSG00000186094
AGK-DT,ENSG00000261570
AGPAT4,ENSG00000026652
AGPAT5,ENSG00000155189
AHCYL2,ENSG00000158467
AHDC1,ENSG00000126705
AHI1,ENSG00000135541
AHI1-DT,ENSG00000231028
AHNAK,ENSG00000124942
AHR,ENSG00000106546
AHRR,ENSG00000063438
AHSG,ENSG00000145192
AHSP,ENSG00000169877
AIF1,ENSG00000204472
AIG1,ENSG00000146416
AIM2,ENSG00000163568
AJAP1,ENSG00000196581
AK1,ENSG00000106992
AK4P3,ENSG00000233381
AK5,ENSG00000154027
AK8,ENSG00000165695
AK9,ENSG00000155085
AKAP1-DT,ENSG00000263004
AKAP12,ENSG00000131016
AKAP5,ENSG00000179841
AKAP6,ENSG00000151320
AKAP7,ENSG00000118507
AKR1B1,ENSG00000085662
AKR1C3,ENSG00000196139
AKR1C7P,ENSG00000215267
AKR1C8,ENSG00000264006
ALB,ENSG00000163631
ALCAM,ENSG00000170017
ALDH18A1,ENSG00000059573
ALDH1A2,ENSG00000128918
ALDH5A1,ENSG00000112294
ALDH7A1,ENSG00000164904
ALDH8A1,ENSG00000118514
ALDOB,ENSG00000136872
ALDOC,ENSG00000109107
ALG1,ENSG00000033011
ALG14,ENSG00000172339
ALG1L1P,ENSG00000189366
ALG1L9P,ENSG00000254978
ALG9,ENSG00000086848
ALK,ENSG00000171094
ALKBH3,ENSG00000166199
ALKBH7,ENSG00000125652
ALKBH8,ENSG00000137760
ALOX12-AS1,ENSG00000267532
ALOX15,ENSG00000161905
ALOX5,ENSG00000275565
ALOX5AP,ENSG00000132965
ALPK1,ENSG00000073331
ALPK2,ENSG00000198796
ALS2,ENSG00000003393
AMDHD1,ENSG00000139344
AMIGO2,ENSG00000139211
AMN1,ENSG00000151743
AMOTL1,ENSG00000166025
AMPH,ENSG00000078053
AMT,ENSG00000145020
AMZ1,ENSG00000174945
ANGPT1,ENSG00000154188
ANGPT2,ENSG00000091879
ANK1,ENSG00000029534
ANK2,ENSG00000145362
ANK3,ENSG00000151150
ANKAR,ENSG00000151687
ANKDD1A,ENSG00000166839
ANKDD1B,ENSG00000189045
ANKFN1,ENSG00000153930
ANKH,ENSG00000154122
ANKHD1-DT,ENSG00000249637
ANKMY2,ENSG00000106524
ANKRD16,ENSG00000134461
ANKRD17-DT,ENSG00000250220
ANKRD18A,ENSG00000180071
ANKRD18CP,ENSG00000159712
ANKRD20A11P,ENSG00000215559
ANKRD20A5P,ENSG00000186481
ANKRD22,ENSG00000152766
ANKRD23,ENSG00000163126
ANKRD24,ENSG00000089847
ANKRD26,ENSG00000107890
ANKRD28,ENSG00000206560
ANKRD31,ENSG00000145700
ANKRD33B,ENSG00000164236
ANKRD36BP2,ENSG00000230006
ANKRD42,ENSG00000137494
ANKRD55,ENSG00000164512
ANKRD6,ENSG00000135299
ANKRD7,ENSG00000106013
ANKS1B,ENSG00000185046
ANKS3,ENSG00000168096
ANKS6,ENSG00000165138
ANKUB1,ENSG00000206199
ANO10,ENSG00000160746
ANO5,ENSG00000171714
ANO6,ENSG00000177119
ANOS1,ENSG00000011201
ANOS2P,ENSG00000241859
ANP32B,ENSG00000136938
ANPEP,ENSG00000166825
ANTKMT,ENSG00000103254
ANTXR2,ENSG00000163297
ANTXRLP1,ENSG00000263482
ANXA2R,ENSG00000177721
ANXA4,ENSG00000196975
